Wall time,Step,Value
1674230173.330708,0,-8841.2236328125
1674230173.416026,3,-349.2853698730469
1674230173.435479,4,-218.77139282226562
1674230173.571163,10,-28.509641647338867
1674230173.591625,11,-42.2282829284668
1674230173.663364,14,-27.028553009033203
1674230173.681647,15,-22.634380340576172
1674230173.729046,18,-31.008861541748047
1674230173.745715,19,-33.5330696105957
1674230173.761604,20,-34.49483108520508
1674230173.795965,22,-33.57954025268555
1674230173.811345,23,-31.98807144165039
1674230173.85887,26,-22.45323371887207
1674230173.874547,27,-19.128358840942383
1674230173.974737,33,-19.255952835083008
1674230174.026893,36,-15.125893592834473
1674230174.044978,37,-14.908239364624023
1674230174.061064,38,-15.386977195739746
1674230174.07629,39,-15.832231521606445
1674230174.095604,40,-16.198171615600586
1674230174.209684,47,-13.519646644592285
1674230174.22432,48,-13.609966278076172
1674230174.243471,49,-13.621442794799805
1674230174.276072,51,-13.35173511505127
1674230174.293001,52,-13.185596466064453
1674230174.327198,54,-12.717628479003906
1674230174.377154,57,-12.508539199829102
1674230174.428588,60,-12.539558410644531
1674230174.442655,61,-12.535244941711426
1674230174.461843,62,-12.477569580078125
1674230174.482843,63,-12.454947471618652
1674230174.513036,65,-12.338491439819336
1674230174.530072,66,-12.353168487548828
1674230174.546785,67,-12.404962539672852
1674230174.562253,68,-12.410063743591309
1674230174.595619,70,-12.412590026855469
1674230174.612043,71,-12.441849708557129
1674230174.710311,77,-12.303457260131836
1674230174.743682,79,-12.33011531829834
1674230174.763176,80,-12.437783241271973
1674230174.7957,82,-12.276341438293457
1674230174.81343,83,-12.389566421508789
1674230174.843239,85,-12.297737121582031
1674230174.910552,89,-12.30307388305664
1674230174.92474,90,-12.28158950805664
1674230175.008471,95,-12.297500610351562
1674230175.078386,99,-12.263075828552246
1674230175.09496,100,-12.270238876342773
1674230175.144097,103,-12.3097562789917
1674230175.194019,106,-12.328392028808594
1674230175.208789,107,-12.309202194213867
1674230175.238817,109,-12.258552551269531
1674230175.325355,114,-12.291739463806152
1674230175.360408,116,-12.311714172363281
1674230175.443594,121,-12.257040023803711
1674230175.512798,125,-12.184636116027832
1674230175.528236,126,-12.27690315246582
1674230175.561063,128,-12.22364330291748
1674230175.594398,130,-12.236974716186523
1674230175.609874,131,-12.346941947937012
1674230175.622298,132,-12.244345664978027
1674230175.693616,136,-12.266144752502441
1674230175.709978,137,-12.317479133605957
1674230175.810405,143,-12.293853759765625
1674230175.82641,144,-12.287066459655762
1674230175.859426,146,-12.32939624786377
1674230175.876543,147,-12.199947357177734
1674230175.919347,150,-12.319008827209473
1674230176.072606,157,-12.260909080505371
1674230176.1214,159,-12.278959274291992
1674230176.149074,160,-12.225341796875
1674230176.181765,162,-12.213370323181152
1674230176.211698,164,-12.247698783874512
1674230176.246363,166,-12.204755783081055
1674230176.308886,170,-12.184516906738281
1674230176.323616,171,-12.321708679199219
1674230176.344331,172,-12.317317008972168
1674230176.396059,175,-12.159584999084473
1674230176.41284,176,-12.219347953796387
1674230176.42619,177,-12.320555686950684
1674230176.442642,178,-12.256121635437012
1674230176.480687,180,-12.160303115844727
1674230176.49772,181,-12.260988235473633
1674230176.54434,184,-12.223767280578613
1674230176.561572,185,-12.228358268737793
1674230176.577412,186,-12.269752502441406
1674230176.626913,189,-12.205679893493652
1674230176.641204,190,-12.200483322143555
1674230176.659057,191,-12.260449409484863
1674230176.676984,192,-12.256024360656738
1674230176.726058,195,-12.250843048095703
1674230176.78233,199,-12.24525260925293
1674230176.797138,200,-12.254340171813965
1674230176.834418,202,-12.254573822021484
1674230176.853863,203,-12.263242721557617
1674230176.872229,204,-12.159229278564453
1674230176.896529,205,-12.33622932434082
1674230176.932412,207,-12.20885944366455
1674230176.964122,209,-12.219365119934082
1674230177.000189,211,-12.2418851852417
1674230177.033591,213,-12.15162467956543
1674230177.063806,215,-12.275999069213867
1674230177.078022,216,-12.265565872192383
1674230177.113657,218,-12.25184440612793
1674230177.12897,219,-12.218400955200195
1674230177.146976,220,-12.14986515045166
1674230177.1638,221,-12.188490867614746
1674230177.181567,222,-12.243572235107422
1674230177.215177,224,-12.19412612915039
1674230177.229707,225,-12.25710391998291
1674230177.296598,229,-12.258373260498047
1674230177.395388,235,-12.155345916748047
1674230177.429338,237,-12.202437400817871
1674230177.448912,238,-12.212949752807617
1674230177.467299,239,-12.149134635925293
1674230177.501509,241,-12.156499862670898
1674230177.516692,242,-12.218793869018555
1674230177.551828,244,-12.126317977905273
1674230177.568105,245,-12.161693572998047
1674230177.582843,246,-12.136191368103027
1674230177.595902,247,-12.200536727905273
1674230177.67092,252,-12.264629364013672
1674230177.684463,253,-12.11665153503418
1674230177.698938,254,-12.285404205322266
1674230177.768413,257,-12.289469718933105
1674230177.789122,258,-12.207093238830566
1674230177.816829,259,-12.101694107055664
1674230177.83796,260,-12.19725513458252
1674230177.886821,262,-12.163277626037598
1674230178.068182,270,-12.186209678649902
1674230178.083181,271,-12.183028221130371
1674230178.130798,274,-12.23193645477295
1674230178.146798,275,-12.136117935180664
1674230178.164876,276,-12.134385108947754
1674230178.194878,278,-12.13361644744873
1674230178.233377,280,-12.17442798614502
1674230178.271136,282,-12.173574447631836
1674230178.295777,283,-12.196425437927246
1674230178.335662,285,-12.224902153015137
1674230178.367502,287,-12.198016166687012
1674230178.380896,288,-12.156867980957031
1674230178.415544,290,-12.133824348449707
1674230178.522362,295,-12.105613708496094
1674230178.545391,296,-12.216626167297363
1674230178.566956,297,-12.156608581542969
1674230178.584662,298,-12.202003479003906
1674230178.682428,304,-12.198265075683594
1674230178.711983,306,-12.159696578979492
1674230178.746449,308,-12.174131393432617
1674230178.764114,309,-12.170928955078125
1674230178.814728,312,-12.090673446655273
1674230178.830528,313,-12.090428352355957
1674230178.881087,316,-12.173332214355469
1674230178.913471,318,-12.181513786315918
1674230178.92988,319,-12.202303886413574
1674230178.986187,322,-12.094831466674805
1674230179.034956,324,-12.087286949157715
1674230179.116313,329,-12.190404891967773
1674230179.129795,330,-12.152984619140625
1674230179.146467,331,-12.18667984008789
1674230179.165887,332,-12.057785987854004
1674230179.261959,337,-12.169578552246094
1674230179.28595,338,-12.158724784851074
1674230179.324442,340,-12.158358573913574
1674230179.383602,343,-12.159540176391602
1674230179.406226,344,-12.113593101501465
1674230179.425201,345,-12.101910591125488
1674230179.446906,346,-12.057295799255371
1674230179.496555,348,-12.142148971557617
1674230179.537716,350,-12.124841690063477
1674230179.568453,352,-12.136549949645996
1674230179.585895,353,-12.115578651428223
1674230179.599946,354,-12.173359870910645
1674230179.672945,358,-12.102252960205078
1674230179.70661,360,-12.125448226928711
1674230179.735007,362,-12.138104438781738
1674230179.752359,363,-12.093674659729004
1674230179.767479,364,-12.134611129760742
1674230179.78162,365,-12.12419319152832
1674230179.801812,366,-12.192948341369629
1674230179.817559,367,-12.205649375915527
1674230179.830927,368,-12.053582191467285
1674230179.929453,374,-12.125927925109863
1674230179.983409,377,-12.144881248474121
1674230180.002796,378,-12.072542190551758
1674230180.118389,385,-12.00040340423584
1674230180.135373,386,-12.153271675109863
1674230180.19695,390,-12.095130920410156
1674230180.214636,391,-12.09193229675293
1674230180.231674,392,-12.11136245727539
1674230180.247448,393,-12.056241989135742
1674230180.2667,394,-12.122056007385254
1674230180.283741,395,-12.122818946838379
1674230180.297287,396,-12.134773254394531
1674230180.31504,397,-12.103711128234863
1674230180.331224,398,-12.032254219055176
1674230180.347051,399,-12.068710327148438
1674230180.381429,401,-12.121644020080566
1674230180.39896,402,-12.153349876403809
1674230180.43283,404,-12.025699615478516
1674230180.503777,408,-12.078856468200684
