Wall time,Step,Value
1674230162.780993,0,-8720.0986328125
1674230162.82294,3,-341.93231201171875
1674230162.834258,4,-216.50115966796875
1674230162.889349,10,-27.858535766601562
1674230162.900229,11,-40.44132614135742
1674230162.928164,14,-28.009178161621094
1674230162.938085,15,-22.699020385742188
1674230162.966456,18,-30.407039642333984
1674230162.973774,19,-32.627342224121094
1674230162.984098,20,-33.82717514038086
1674230163.001992,22,-33.30924606323242
1674230163.011359,23,-31.68288803100586
1674230163.039358,26,-22.403623580932617
1674230163.050104,27,-19.081806182861328
1674230163.101317,33,-19.505441665649414
1674230163.129513,36,-14.994579315185547
1674230163.142532,37,-14.770002365112305
1674230163.153759,38,-15.12264347076416
1674230163.162556,39,-15.62540054321289
1674230163.172065,40,-15.921616554260254
1674230163.239665,47,-13.246055603027344
1674230163.250911,48,-13.313310623168945
1674230163.258997,49,-13.368388175964355
1674230163.280677,51,-13.26987361907959
1674230163.290194,52,-13.116708755493164
1674230163.308069,54,-12.72503662109375
1674230163.339691,57,-12.365826606750488
1674230163.369069,60,-12.429817199707031
1674230163.380412,61,-12.459074020385742
1674230163.389028,62,-12.46464729309082
1674230163.400181,63,-12.447003364562988
1674230163.419607,65,-12.387755393981934
1674230163.429008,66,-12.372734069824219
1674230163.43846,67,-12.37686824798584
1674230163.448407,68,-12.397175788879395
1674230163.472737,70,-12.443904876708984
1674230163.485208,71,-12.448243141174316
1674230163.548693,77,-12.345376968383789
1674230163.568147,79,-12.342096328735352
1674230163.57597,80,-12.336833953857422
1674230163.595509,82,-12.316268920898438
1674230163.604732,83,-12.305176734924316
1674230163.622958,85,-12.292613983154297
1674230163.661159,89,-12.298513412475586
1674230163.671779,90,-12.298439025878906
1674230163.718071,95,-12.290807723999023
1674230163.75471,99,-12.292484283447266
1674230163.763278,100,-12.291211128234863
1674230163.790775,103,-12.28579044342041
1674230163.821162,106,-12.283456802368164
1674230163.830035,107,-12.282938003540039
1674230163.851481,109,-12.281196594238281
1674230163.903038,114,-12.276910781860352
1674230163.921664,116,-12.276287078857422
1674230163.969982,121,-12.273566246032715
1674230164.005953,125,-12.271801948547363
1674230164.015388,126,-12.271280288696289
1674230164.034266,128,-12.270082473754883
1674230164.052587,130,-12.268892288208008
1674230164.060501,131,-12.268346786499023
1674230164.071118,132,-12.267822265625
1674230164.106479,136,-12.265629768371582
1674230164.115747,137,-12.265057563781738
