Wall time,Step,Value
1674230171.138883,0,-4792.6728515625
1674230171.342994,3,-232.85121154785156
1674230171.398129,4,-153.4658966064453
1674230171.754724,10,-45.7851676940918
1674230171.81193,11,-27.311710357666016
1674230171.989136,14,-20.91640853881836
1674230172.047609,15,-24.42730712890625
1674230172.22176,18,-26.20332145690918
1674230172.273404,19,-23.059904098510742
1674230172.322791,20,-18.341535568237305
1674230172.420397,22,-9.095078468322754
1674230172.471936,23,-7.482658386230469
1674230172.621981,26,-7.393941879272461
1674230172.668492,27,-13.231104850769043
1674230172.974934,33,-51.39188003540039
1674230173.122654,36,-56.540157318115234
1674230173.171108,37,-55.91875076293945
1674230173.224165,38,-55.691871643066406
1674230173.275042,39,-56.20961380004883
1674230173.326834,40,-55.7300910949707
1674230173.71909,47,-47.41718673706055
1674230173.769488,48,-45.622154235839844
1674230173.823395,49,-41.70842742919922
1674230173.926066,51,-35.42428207397461
1674230173.977894,52,-31.9928035736084
1674230174.078581,54,-24.245365142822266
1674230174.230796,57,-12.788162231445312
1674230174.38148,60,-9.698372840881348
1674230174.446507,61,-10.768509864807129
1674230174.513021,62,-12.103992462158203
1674230174.576861,63,-13.896795272827148
1674230174.680459,65,-15.129779815673828
1674230174.732494,66,-15.91461181640625
1674230174.786453,67,-15.023221969604492
1674230174.861108,68,-14.376105308532715
1674230175.013876,70,-12.222070693969727
1674230175.086965,71,-10.979714393615723
1674230175.54813,77,-8.776138305664062
1674230175.698517,79,-9.13029956817627
1674230175.753473,80,-9.067791938781738
1674230175.901925,82,-9.306591987609863
1674230175.955811,83,-9.165026664733887
1674230176.055611,85,-8.794957160949707
1674230176.269357,89,-7.8307952880859375
1674230176.320952,90,-7.569677352905273
1674230176.58691,95,-7.859704494476318
1674230176.796834,99,-7.7662811279296875
1674230176.85337,100,-7.74698543548584
1674230177.020889,103,-7.571338653564453
1674230177.177124,106,-7.335610389709473
1674230177.227218,107,-7.411665439605713
1674230177.330691,109,-7.2810959815979
1674230177.592025,114,-7.318336486816406
1674230177.698967,116,-7.321746826171875
1674230177.942462,121,-7.301703453063965
1674230178.148306,125,-7.308551788330078
1674230178.200427,126,-7.399691581726074
1674230178.327824,128,-7.344387531280518
1674230178.432838,130,-7.249594211578369
1674230178.501034,131,-7.472433090209961
1674230178.566336,132,-7.211548805236816
1674230178.783137,136,-7.320272922515869
1674230178.833409,137,-7.343166828155518
1674230179.135355,143,-7.323606014251709
1674230179.186924,144,-7.247274875640869
1674230179.314567,146,-7.399398326873779
1674230179.3763,147,-7.295144557952881
1674230179.56285,150,-7.3786163330078125
1674230179.939489,157,-7.377878665924072
1674230180.044511,159,-7.39942741394043
1674230180.096659,160,-7.343585968017578
1674230180.199003,162,-7.30851411819458
1674230180.30449,164,-7.388339042663574
1674230180.404119,166,-7.393961429595947
1674230180.616839,170,-7.3118672370910645
1674230180.668412,171,-7.180871486663818
1674230180.720998,172,-7.385174751281738
1674230180.872486,175,-7.231058597564697
1674230180.92595,176,-7.211760520935059
1674230180.977998,177,-7.389603137969971
1674230181.028941,178,-7.356771469116211
1674230181.133932,180,-7.312044620513916
1674230181.185665,181,-7.007721900939941
1674230181.366509,184,-7.179584980010986
1674230181.433132,185,-7.045936584472656
1674230181.492361,186,-7.322625160217285
1674230181.652817,189,-7.1564226150512695
1674230181.702369,190,-7.193042278289795
1674230181.756909,191,-7.395531177520752
1674230181.806364,192,-7.262906551361084
1674230181.959859,195,-7.207484245300293
1674230182.172455,199,-7.148664951324463
1674230182.224269,200,-7.2155842781066895
1674230182.326861,202,-7.042369842529297
1674230182.380324,203,-7.407580375671387
1674230182.440393,204,-7.262813091278076
1674230182.509338,205,-7.235369682312012
1674230182.643154,207,-7.333715438842773
1674230182.775427,209,-7.160086631774902
1674230182.881028,211,-7.376836776733398
1674230182.992089,213,-7.313403606414795
1674230183.103411,215,-7.170632839202881
1674230183.155441,216,-7.122912406921387
1674230183.257327,218,-7.048784255981445
1674230183.308266,219,-7.1386637687683105
1674230183.36146,220,-7.333292484283447
1674230183.415233,221,-7.379396438598633
1674230183.473763,222,-7.224127769470215
1674230183.580304,224,-7.28262996673584
1674230183.634795,225,-7.304433822631836
1674230183.843364,229,-7.449437618255615
1674230184.153965,235,-7.155835151672363
1674230184.255431,237,-7.183001518249512
1674230184.308222,238,-6.986205577850342
1674230184.359942,239,-7.232678413391113
1674230184.471536,241,-7.0722222328186035
1674230184.526986,242,-7.339158058166504
1674230184.627349,244,-7.068709850311279
1674230184.676508,245,-7.127558708190918
1674230184.725277,246,-7.398033142089844
1674230184.774893,247,-7.305883407592773
1674230185.062765,252,-7.035111904144287
1674230185.113862,253,-7.327646732330322
1674230185.164422,254,-7.096718788146973
1674230185.339365,257,-7.141769886016846
1674230185.386447,258,-7.042538166046143
1674230185.437892,259,-7.1683349609375
1674230185.490898,260,-7.296432018280029
1674230185.589209,262,-7.213135719299316
1674230185.983059,270,-6.984777927398682
1674230186.034691,271,-7.097360610961914
1674230186.192796,274,-7.091826915740967
1674230186.243896,275,-7.153860092163086
1674230186.294108,276,-7.13135290145874
1674230186.395087,278,-7.329626083374023
1674230186.507963,280,-7.2242631912231445
1674230186.607418,282,-7.193770408630371
1674230186.658503,283,-7.158740520477295
1674230186.759536,285,-7.3920578956604
1674230186.860801,287,-7.09282922744751
1674230186.91332,288,-7.1999430656433105
1674230187.017937,290,-6.974339485168457
1674230187.290943,295,-7.225046157836914
1674230187.339365,296,-7.061185836791992
1674230187.385914,297,-7.207380771636963
1674230187.441369,298,-7.12575626373291
1674230187.741928,304,-6.916857719421387
1674230187.844797,306,-7.205476760864258
1674230187.949137,308,-7.278564453125
1674230188.002084,309,-7.013354301452637
1674230188.156708,312,-7.062267303466797
1674230188.206689,313,-7.302192211151123
1674230188.359908,316,-7.152593612670898
1674230188.459742,318,-6.9494547843933105
1674230188.514005,319,-7.124414920806885
1674230188.667308,322,-6.980063438415527
1674230188.796598,324,-7.209651947021484
1674230189.058928,329,-7.031156539916992
1674230189.108889,330,-7.119890213012695
1674230189.16094,331,-7.136092185974121
1674230189.209364,332,-7.040212154388428
1674230189.460339,337,-7.075990200042725
1674230189.512549,338,-6.9788641929626465
1674230189.609862,340,-6.955068588256836
1674230189.749126,343,-6.890041351318359
1674230189.799451,344,-7.07285737991333
1674230189.848769,345,-7.152856349945068
1674230189.900181,346,-6.998439311981201
1674230190.002066,348,-7.092226982116699
1674230190.130848,350,-6.992162227630615
1674230190.249487,352,-6.808468818664551
1674230190.314426,353,-6.972370624542236
1674230190.364632,354,-7.117568016052246
1674230190.584377,358,-6.826510429382324
1674230190.702214,360,-6.927500247955322
1674230190.810112,362,-6.87508487701416
1674230190.859326,363,-7.043063163757324
1674230190.918083,364,-6.893774509429932
1674230190.978361,365,-7.195796012878418
1674230191.033736,366,-6.947561740875244
1674230191.089453,367,-7.0706939697265625
